index,Author,Title,Type of Ban,Secondary Author(s),Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Origin of Challenge
2400,"Vaughan, Brian K.","Saga, Volume 1 (Saga Series)",Banned in Libraries,,"Staples, Fiona",,Illinois,Lake Forest Schools,December 2021,Formal Challenge
2401,"Vaughan, Brian K.",Y: The Last Man,Banned in Classrooms,,"Guerra, Pia; Marzan Jr., Jose",,Texas,Leander Independent School District,September 2021,Administrator
2402,"Velásquez, Eric",Looking for Bongo,Banned Pending Investigation,,,,Florida,Duval County Public Schools,January 2022,Administrator
2403,"Venable, Colleen A. F.",Kiss Number 8,Banned Pending Investigation,,"Crenshaw, Ellen T.",,Texas,North East Independent School District,December 2021,Administrator
2404,"Venezia, Mike",Faith Ringgold (Getting to Know the World's Greatest Artists),Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator
2405,"Verde, Susan",I Am Human: A Book of Empathy (I Am... Series),Banned in Classrooms,,"Reynolds, Peter H.",,Pennsylvania,Central York School District,August 2021,Administrator
2406,"Verdi, Jessica",And She Was,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
2407,"Verdi, Jessica",And She Was,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
2408,"Verdi, Jessica",Follow Your Arrow,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
2409,"Verdi, Jessica",Follow Your Arrow,Banned Pending Investigation,,,,Texas,Fredericksburg Independent School District,March 2022,Administrator
2410,"Victoria, Emily",This Golden Flame,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
2411,"Villa, Jonny Garza",Fifteen Hundred Miles from the Sun,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
2412,"Villasante, Alexandra",The Grief Keeper,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
2413,"Volponi, Paul",Black and White,Banned Pending Investigation,,,,New Jersey,Lower Township Elementary School District,February 2022,Formal Challenge
2414,"Volponi, Paul",Crossing Lines,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator
2415,"von Ziegesar, Cecily",Gossip Girl: A Novel by Cecily von Ziegesar (Gossip Girl Series),Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administrator
2416,"Vonnegut Jr., Kurt",Slaughterhouse-Five,Banned Pending Investigation,,,,Florida,Brevard Public Schools,May 2022,Administrator
2417,"Vonnegut Jr., Kurt",Slaughterhouse-Five,Banned Pending Investigation,,,,Michigan,Gladwin Community Schools,May 2022,Administrator
2418,"Wade, Mary Dodson",Condoleezza Rice: Being the Best (Gateway Biographies),Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator
2419,"Walden, Mark",Dreadnought (H.I.V.E. Series),Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator
2420,"Walden, Mark",Dreadnought (H.I.V.E. Series),Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
2421,"Walden, Tillie",On a Sunbeam (On a Sunbeam Series),Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
2422,"Walden, Tillie",Spinning,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administrator
